ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
240,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/8/2017,0.00,ปริมาณฝน
241,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/9/2017,82.00,ความชื้นสัมพัทธ์
242,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/9/2017,0.00,ปริมาณฝน
243,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/11/2017,81.00,ความชื้นสัมพัทธ์
244,552201,นครศรีธรรมราช,นครศรีธรรมราช,5/11/2017,0.00,ปริมาณฝน
245,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/1/2017,98.00,ความชื้นสัมพัทธ์
246,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/1/2017,13.00,ความเร็วลมสุงสุด
247,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/1/2017,161.20,ปริมาณฝน
248,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/3/2017,83.00,ความชื้นสัมพัทธ์
249,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/3/2017,14.00,ความเร็วลมสุงสุด
250,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/3/2017,0.00,ปริมาณฝน
251,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/6/2017,88.00,ความชื้นสัมพัทธ์
252,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/6/2017,9.80,ปริมาณฝน
253,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/9/2017,82.00,ความชื้นสัมพัทธ์
254,552201,นครศรีธรรมราช,นครศรีธรรมราช,6/9/2017,0.00,ปริมาณฝน
