,Day,Year,addrcode,temperature
10552,129,2015,800610,32.89
10553,129,2015,800901,32.67
10554,129,2015,800604,33.05
10555,129,2015,801607,33.41
10556,89,2018,801205,30.01
10557,89,2018,802302,30.57
10558,89,2018,801211,30.07
10559,89,2018,800102,30.11
10560,89,2018,802203,29.31
10561,89,2018,800103,30.11
10562,89,2018,800118,30.95
10563,89,2018,800401,34.89
10564,89,2018,800108,30.71
10565,89,2018,800114,32.31
10566,89,2018,802002,32.39
10567,89,2018,800415,31.45
10568,89,2018,800810,28.73
10569,89,2018,800107,30.95
10570,89,2018,800809,32.17
10571,89,2018,800709,26.35
10572,89,2018,801901,33.15
10573,89,2018,800703,31.59
10574,89,2018,801401,28.41
10575,89,2018,810802,27.17
10576,89,2018,810101,27.57
10577,89,2018,800610,31.33
10578,89,2018,800901,31.07
10579,89,2018,800604,29.55
10580,89,2018,801607,31.77
10581,33,2015,801304,29.19
10582,33,2015,800603,29.65
10583,33,2015,801904,30.29
10584,33,2015,800905,31.55
10585,33,2015,800909,31.11
10586,33,2015,801701,30.66
10587,33,2015,801903,29.67
10588,33,2015,800611,29.76
10589,33,2015,801204,30.23
10590,33,2015,801101,31.91
10591,33,2015,801302,27.24
10592,33,2015,802003,30.25
10593,33,2015,801215,30.37
10594,33,2015,801206,30.01
10595,33,2015,801207,29.85
10596,33,2015,801217,29.97
10597,33,2015,802001,30.23
10598,33,2015,800305,29.58
10599,33,2015,801105,32.04
10600,33,2015,801212,29.81
10601,33,2015,801003,31.94
10602,33,2015,800302,25.66
10603,33,2015,801208,29.91
10604,33,2015,800911,28.42
10605,33,2015,801107,30.79
10606,33,2015,801213,29.43
10607,33,2015,800912,32.09
10608,33,2015,801218,31.45
10609,33,2015,802301,30.47
10610,33,2015,801301,28.86
10611,33,2015,800906,29.66
10612,33,2015,801216,29.55
10613,33,2015,801001,31.83
10614,33,2015,801303,30.23
10615,33,2015,802304,30.65
10616,33,2015,801203,30.15
10617,33,2015,801104,31.03
10618,33,2015,801214,28.68
10619,33,2015,800407,31.93
10620,33,2015,800112,29.43
10621,33,2015,800304,26.3
10622,33,2015,800106,29.15
10623,33,2015,800405,31.77
10624,33,2015,800115,31.63
10625,33,2015,801801,31.17
10626,33,2015,800303,28.71
10627,33,2015,801106,31.76
10628,33,2015,801103,32.46
10629,33,2015,800122,29.86
10630,33,2015,802202,30.77
10631,33,2015,801210,30.45
10632,33,2015,801002,31.49
10633,33,2015,802004,29.82
10634,33,2015,802201,28.49
10635,33,2015,801102,32.06
10636,33,2015,800301,27.45
10637,33,2015,800101,31.27
10638,33,2015,800119,28.03
10639,33,2015,800416,33.7
10640,33,2015,800113,31.47
10641,33,2015,801202,29.5
10642,33,2015,810602,30.35
10643,33,2015,810601,29.48
10644,33,2015,800807,28.7
10645,33,2015,800204,26.68
10646,33,2015,800501,26.06
10647,33,2015,800120,28.73
10648,33,2015,810301,26.84
10649,33,2015,810603,30.09
10650,33,2015,800201,27.32
10651,33,2015,800205,29.43
10652,33,2015,800403,27.29
10653,33,2015,801209,26.27
10654,33,2015,800116,29.04
10655,33,2015,801803,31.46
10656,33,2015,800410,33.37
10657,33,2015,800406,30.61
10658,33,2015,800505,29.76
10659,33,2015,800504,28.51
10660,33,2015,800121,28.98
10661,33,2015,801802,31.19
10662,33,2015,800203,28.85
10663,33,2015,800404,32.23
10664,33,2015,800202,28.89
10665,33,2015,800806,29.47
10666,33,2015,802101,26.28
10667,33,2015,802103,29.83
10668,33,2015,800803,29.0
10669,33,2015,800503,27.33
10670,33,2015,800502,27.76
10671,33,2015,800801,29.51
10672,33,2015,802104,27.44
10673,33,2015,801403,26.16
10674,33,2015,801408,24.95
10675,33,2015,802102,26.41
10676,33,2015,801404,28.31
10677,33,2015,800802,28.41
10678,33,2015,801407,24.82
10679,33,2015,800811,28.2
10680,33,2015,801405,28.35
10681,33,2015,800813,28.46
10682,33,2015,800804,29.45
10683,33,2015,800409,29.54
10684,33,2015,801604,30.58
10685,33,2015,800704,28.55
10686,33,2015,801605,30.09
10687,33,2015,801602,28.25
10688,33,2015,801704,31.32
10689,33,2015,801702,30.5
10690,33,2015,801902,30.09
10691,33,2015,801703,31.24
10692,33,2015,801603,30.31
10693,33,2015,800910,26.97
10694,33,2015,801905,29.43
10695,33,2015,800701,30.41
10696,33,2015,800908,30.56
10697,33,2015,801503,28.32
10698,33,2015,801501,26.73
10699,33,2015,801502,28.18
10700,33,2015,801406,27.86
10701,33,2015,801409,27.8
10702,33,2015,801402,28.1
10703,33,2015,801610,27.67
10704,33,2015,800710,29.78
10705,33,2015,800702,30.85
10706,33,2015,800705,28.23
10707,33,2015,801609,30.04
10708,33,2015,800708,30.71
10709,33,2015,800707,29.15
10710,33,2015,800711,29.67
10711,33,2015,810304,30.12
10712,33,2015,810405,31.02
10713,33,2015,810803,30.5
10714,33,2015,810403,30.59
10715,33,2015,810302,28.81
10716,33,2015,810305,28.76
10717,33,2015,810303,29.93
10718,33,2015,810404,30.25
10719,33,2015,810106,30.5
10720,33,2015,810801,32.19
10721,33,2015,810115,31.05
10722,33,2015,810406,30.58
10723,33,2015,810805,29.93
10724,33,2015,810701,30.42
10725,33,2015,810702,30.4
10726,33,2015,810703,30.28
10727,33,2015,810117,30.98
10728,33,2015,810704,29.44
10729,33,2015,810402,29.66
10730,33,2015,810401,30.73
10731,33,2015,810806,30.71
10732,33,2015,810116,31.17
10733,33,2015,810118,31.03
10734,33,2015,810804,31.97
10735,33,2015,810807,30.49
10736,33,2015,810204,31.32
10737,33,2015,810203,31.56
10738,33,2015,810201,31.41
10739,33,2015,810111,30.61
10740,33,2015,810506,29.98
10741,33,2015,810508,30.43
10742,33,2015,810509,30.45
10743,33,2015,810501,30.07
10744,33,2015,810202,31.68
10745,33,2015,810502,28.93
10746,33,2015,810505,29.01
10747,33,2015,810504,29.55
10748,33,2015,810105,30.91
10749,33,2015,810407,30.01
10750,33,2015,810103,31.37
10751,33,2015,810206,31.1
10752,33,2015,810808,29.97
10753,33,2015,810507,30.31
10754,33,2015,810503,30.42
10755,33,2015,810205,29.86
10756,33,2015,810604,30.34
10757,33,2015,802303,30.59
10758,33,2015,800904,31.67
10759,33,2015,800607,29.27
10760,33,2015,801611,30.01
10761,33,2015,801608,30.09
10762,33,2015,800606,29.07
10763,33,2015,800913,31.43
10764,33,2015,800601,29.91
10765,33,2015,800903,32.05
10766,33,2015,801305,30.75
10767,33,2015,801306,30.33
10768,33,2015,800902,29.63
10769,33,2015,800605,29.65
10770,33,2015,800612,30.64
10771,33,2015,801906,27.51
10772,33,2015,800613,28.52
10773,33,2015,801606,30.39
10774,33,2015,800706,28.64
10775,33,2015,800907,31.14
10776,33,2015,801601,30.17
10779,241,2016,801904,30.02
10780,241,2016,800905,27.09
10781,241,2016,800909,27.89
10782,241,2016,801903,30.85
10783,241,2016,801204,35.41
10784,241,2016,801101,25.95
10785,241,2016,801302,24.42
10786,241,2016,802003,36.01
10787,241,2016,801215,24.15
10788,241,2016,801206,34.84
10789,241,2016,801207,27.81
10790,241,2016,801217,29.71
10791,241,2016,802001,29.35
10792,241,2016,800305,29.35
10793,241,2016,801105,24.9
10794,241,2016,801212,32.51
10795,241,2016,801003,25.22
10796,241,2016,800302,25.74
10797,241,2016,801208,24.15
10798,241,2016,800911,27.33
10799,241,2016,801213,29.71
10800,241,2016,801218,31.87
10801,241,2016,801301,26.51
10802,241,2016,800906,25.64
10803,241,2016,801001,27.38
10804,241,2016,801303,35.65
10805,241,2016,802304,35.41
10806,241,2016,801203,29.69
10807,241,2016,801214,33.57
10808,241,2016,800112,29.43
10809,241,2016,800304,25.33
10810,241,2016,800303,27.13
10811,241,2016,801106,30.01
10812,241,2016,800122,34.27
10813,241,2016,801210,31.45
10814,241,2016,801002,21.45
10815,241,2016,802004,34.53
10816,241,2016,802201,24.36
10817,241,2016,800301,25.9
10818,241,2016,800113,29.43
10819,241,2016,801202,34.1
10820,241,2016,810602,28.79
10821,241,2016,810601,27.65
10822,241,2016,800807,24.27
10823,241,2016,800204,27.52
10824,241,2016,800501,25.07
10825,241,2016,810301,28.55
10826,241,2016,810603,28.13
10827,241,2016,800403,25.09
10828,241,2016,800406,26.81
10829,241,2016,800505,26.64
10830,241,2016,800504,25.66
10831,241,2016,800806,30.45
10832,241,2016,802101,29.2
10833,241,2016,802103,29.48
10834,241,2016,800803,31.41
10835,241,2016,800503,25.92
10836,241,2016,800502,26.08
10837,241,2016,802104,29.58
10838,241,2016,801403,24.77
10839,241,2016,801408,24.68
10840,241,2016,802102,26.37
10841,241,2016,801404,24.11
10842,241,2016,800802,30.77
10843,241,2016,801407,26.05
10844,241,2016,800811,29.46
10845,241,2016,801405,25.24
10846,241,2016,800804,27.75
10847,241,2016,800409,24.74
10848,241,2016,800704,31.21
10849,241,2016,801902,31.83
10850,241,2016,801703,24.05
10851,241,2016,800910,27.72
10852,241,2016,801905,30.05
10853,241,2016,800701,31.25
10854,241,2016,800908,28.15
10855,241,2016,801503,29.37
10856,241,2016,801501,27.23
10857,241,2016,801502,29.28
10858,241,2016,801406,22.28
10859,241,2016,801409,22.89
10860,241,2016,801402,25.01
10861,241,2016,800710,29.74
10862,241,2016,800702,31.21
