,addrcode,Year,temperature
661,104802,2015,36.042914930555554
662,104802,2016,35.288017113095236
663,104802,2017,35.22708258928571
664,104901,2014,32.744639880952384
665,104901,2015,34.330076884920636
666,104901,2016,32.91846949404762
667,104901,2017,32.08433630952381
668,104902,2014,34.339203869047616
669,104902,2015,35.096190724206345
670,104902,2016,33.73151636904762
671,104902,2017,33.382027529761906
672,105001,2014,35.80049553571428
673,105001,2015,35.589074652777775
674,105001,2016,35.01906101190476
675,105001,2017,35.454328124999996
676,800101,2014,31.983177827380956
677,800101,2015,31.50982614087302
678,800101,2016,32.04611383928572
679,800101,2017,29.927393601190477
680,800102,2014,32.40859449404762
681,800102,2015,31.69807118055556
682,800102,2016,32.06588020833333
683,800102,2017,29.836377232142855
684,800103,2014,32.40859449404762
685,800103,2015,31.69807118055556
686,800103,2016,32.06588020833333
687,800103,2017,29.836377232142855
688,800106,2014,31.261607142857144
689,800106,2015,30.49909945436508
690,800106,2016,30.97660342261905
691,800106,2017,29.03561532738095
692,800107,2014,31.032181547619047
693,800107,2015,30.30939880952381
694,800107,2016,30.65068824404762
695,800107,2017,28.859492559523815
696,800108,2014,31.51933705357143
697,800108,2015,31.40583928571429
698,800108,2016,30.719771577380953
699,800108,2017,28.97330282738095
700,800112,2014,30.39263467261905
701,800112,2015,30.05751984126984
702,800112,2016,30.239758928571423
703,800112,2017,28.810538690476196
704,800113,2014,31.63089583333333
705,800113,2015,31.470312500000002
706,800113,2016,31.210151041666666
707,800113,2017,29.073890625
708,800114,2014,31.983177827380956
709,800114,2015,31.50982614087302
710,800114,2016,32.04611383928572
711,800114,2017,29.927393601190477
712,800115,2014,32.55513392857143
713,800115,2015,31.80810416666667
714,800115,2016,32.26607738095238
715,800115,2017,30.180175595238094
716,800116,2014,30.50677678571429
717,800116,2015,30.347392113095243
718,800116,2016,29.793395833333335
719,800116,2017,28.792632440476186
720,800118,2014,32.55513392857143
721,800118,2015,31.80810416666667
722,800118,2016,32.26607738095238
723,800118,2017,30.180175595238094
724,800119,2014,30.448023809523814
725,800119,2015,29.371095486111113
726,800119,2016,29.761723214285713
727,800119,2017,28.57734598214286
728,800120,2014,30.720906250000002
729,800120,2015,30.59639608134921
730,800120,2016,29.627729910714283
731,800120,2017,28.329568452380943
732,800121,2014,30.569780505952377
733,800121,2015,30.003786458333337
734,800121,2016,29.515613095238095
735,800121,2017,27.860532738095245
736,800122,2014,31.406662946428572
737,800122,2015,31.057708581349203
738,800122,2016,31.242743303571427
739,800122,2017,29.835171875
740,800201,2014,29.049386904761906
741,800201,2015,28.830720486111115
742,800201,2016,28.587313988095236
743,800201,2017,26.98097098214286
744,800202,2014,30.527404761904762
745,800202,2015,30.490542162698418
746,800202,2016,29.785666666666668
747,800202,2017,28.33630952380953
748,800203,2014,30.934306547619055
749,800203,2015,30.819677827380954
750,800203,2016,30.332947916666658
751,800203,2017,29.109431547619042
752,800204,2014,27.532008184523807
753,800204,2015,27.520532490079365
754,800204,2016,27.158099702380955
755,800204,2017,26.619576636904764
756,800205,2014,30.97583928571429
757,800205,2015,30.76358606150794
758,800205,2016,30.134823660714286
759,800205,2017,29.199440476190475
760,800301,2014,27.546549851190477
761,800301,2015,27.77145585317461
762,800301,2016,27.47621354166667
763,800301,2017,27.286809523809527
764,800302,2014,27.715230654761907
765,800302,2015,27.347192708333335
766,800302,2016,27.354593750000003
767,800302,2017,26.129259672619053
768,800303,2014,30.148609374999996
769,800303,2015,29.95905257936508
770,800303,2016,29.94961011904762
771,800303,2017,28.651651785714282
772,800304,2014,27.1856287202381
773,800304,2015,26.750837797619045
774,800304,2016,27.209404017857143
775,800304,2017,25.879984375000003
776,800305,2014,30.501778273809524
777,800305,2015,29.590965277777784
778,800305,2016,30.337779017857144
779,800305,2017,28.276569196428568
780,800401,2014,30.354120535714287
781,800401,2015,30.687670634920636
782,800401,2016,30.605084821428576
783,800401,2017,29.55745833333333
784,800403,2014,26.577372023809527
785,800403,2015,27.113404761904764
786,800403,2016,26.55609747023809
787,800403,2017,25.910078125
788,800404,2014,29.52924032738095
789,800404,2015,29.98715352182539
790,800404,2016,29.423171874999994
791,800404,2017,28.26350818452381
792,800405,2014,30.114416666666667
793,800405,2015,30.321457341269845
794,800405,2016,30.114270833333336
795,800405,2017,29.180134672619047
796,800406,2014,29.767604910714283
797,800406,2015,29.498264880952387
798,800406,2016,29.471200148809526
799,800406,2017,28.205072916666676
800,800407,2014,29.912048363095238
801,800407,2015,30.379191220238095
802,800407,2016,30.100453869047623
803,800407,2017,29.368136904761908
804,800409,2014,28.523680803571427
805,800409,2015,28.661430307539675
806,800409,2016,27.991996279761906
807,800409,2017,27.208905505952384
808,800410,2014,30.025284970238094
809,800410,2015,30.46435739087302
810,800410,2016,30.24758482142857
811,800410,2017,29.164983630952378
812,800415,2014,29.338761904761906
813,800415,2015,29.294707341269838
814,800415,2016,29.048704613095243
815,800415,2017,27.867721726190478
816,800416,2014,29.97301116071429
817,800416,2015,30.435162946428573
818,800416,2016,30.108097470238093
819,800416,2017,29.34705357142857
820,800501,2014,26.461083333333335
821,800501,2015,26.640018849206353
822,800501,2016,26.268247767857137
823,800501,2017,25.827092261904763
824,800502,2014,27.00839211309524
825,800502,2015,27.208343998015874
826,800502,2016,26.33827827380952
827,800502,2017,25.784843749999997
828,800503,2014,27.083473958333332
829,800503,2015,27.687119543650798
830,800503,2016,26.686834077380954
831,800503,2017,25.99631919642857
832,800504,2014,27.56705059523809
833,800504,2015,27.944209573412703
834,800504,2016,27.410407738095234
835,800504,2017,26.3674724702381
