,addrcode,Year,Week,temperature
3045,1015,2016,15,38.245
3046,1015,2016,16,39.792678571428574
3047,1015,2016,17,39.37125000000001
3048,1015,2016,18,37.410000000000004
3049,1015,2016,19,36.03
3050,1015,2016,20,36.03
3051,1015,2016,21,36.03
3052,1015,2016,22,36.03
3053,1015,2016,23,36.03
3054,1015,2016,24,36.059285714285714
3055,1015,2016,25,37.055
3056,1015,2016,26,37.815
3057,1015,2016,27,38.41375
3058,1015,2016,28,39.070714285714295
3059,1015,2016,29,38.38660714285714
3060,1015,2016,30,36.525
3061,1015,2016,31,37.48392857142858
3062,1015,2016,32,37.76839285714288
3063,1015,2016,33,36.69375
3064,1015,2016,34,36.03
3065,1015,2016,35,36.03
3066,1015,2016,36,36.699642857142855
3067,1015,2016,37,38.396071428571425
3068,1015,2016,38,38.278214285714284
3069,1015,2016,39,36.59964285714285
3070,1015,2016,40,36.199999999999996
3071,1015,2016,41,36.88
3072,1015,2016,42,36.895
3073,1015,2016,43,36.0925
3074,1015,2016,44,35.46767857142857
3075,1015,2016,45,35.38017857142858
3076,1015,2016,46,34.7825
3077,1015,2016,47,33.802321428571425
3078,1015,2016,48,33.62125
3079,1015,2016,49,33.63999999999999
3080,1015,2016,50,33.255
3081,1015,2016,51,32.985535714285724
3082,1015,2016,52,31.61285714285714
3083,1015,2017,1,33.435
3084,1015,2017,2,32.72750000000001
3085,1015,2017,3,32.87339285714285
3086,1015,2017,4,34.32660714285714
3087,1015,2017,5,34.955714285714286
3088,1015,2017,6,34.80392857142858
3089,1015,2017,7,35.110178571428555
3090,1015,2017,8,35.91125
3091,1015,2017,9,36.440000000000005
3092,1015,2017,10,37.2725
3093,1015,2017,11,38.48767857142857
3094,1015,2017,12,38.45446428571427
3095,1015,2017,13,37.96071428571429
3096,1015,2017,14,40.43160714285715
3097,1015,2017,15,41.34160714285713
3098,1015,2017,16,39.19
3099,1015,2017,17,35.73000000000001
3100,1015,2017,18,33.68
3101,1015,2017,19,34.49964285714287
3102,1015,2017,20,36.57607142857143
3103,1015,2017,21,36.746428571428574
3104,1015,2017,22,36.89535714285713
