,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
811,A4004,2015,41,False,32.13556547619048,36.19125000000001,34.19027281746032,5.6184722222222225,33.71083333333333,52012,15,0,31,2,1,66,26,0,141
812,A4004,2016,8,True,35.13,36.08142857142857,35.64718452380953,57.98591666666666,1493.7799999999997,52012,15,0,31,2,1,66,26,0,141
813,A4004,2016,31,False,31.95,37.73192857142858,34.64150446428571,13.016166666666669,78.09700000000001,52012,15,0,31,2,1,66,26,0,141
814,A4004,2017,37,True,32.56879464285714,36.31735714285715,35.041125,34.474916666666665,895.2,52012,15,0,31,2,1,66,26,0,141
815,A4004,2017,26,False,32.426071428571426,38.144910714285714,34.641392857142854,17.96341666666667,107.78050000000002,52012,15,0,31,2,1,66,26,0,141
816,A4101,2015,161,True,37.15467857142858,38.417410714285715,37.88426190476191,60.082750000000004,1573.22,75783,604,74,1992,46,145,4426,371,10,7668
817,A4101,2015,87,False,33.27994047619048,38.589464285714286,35.510376984126985,5.8819444444444455,35.29166666666667,75783,604,74,1992,46,145,4426,371,10,7668
818,A4101,2016,27,True,35.82,37.248285714285714,36.506125000000004,65.06575,1674.35,75783,604,74,1992,46,145,4426,371,10,7668
819,A4101,2016,43,False,31.87567857142857,38.05017857142858,35.17785416666666,10.083416666666666,60.5005,75783,604,74,1992,46,145,4426,371,10,7668
820,A4101,2017,57,True,35.97080357142858,37.815044642857146,36.778848214285716,36.376416666666664,945.0400000000001,75783,604,74,1992,46,145,4426,371,10,7668
821,A4101,2017,18,False,33.58392857142857,37.11596428571429,35.58622321428572,15.986916666666668,95.92150000000001,75783,604,74,1992,46,145,4426,371,10,7668
822,A4102,2015,79,True,37.15467857142858,38.417410714285715,37.88426190476191,60.082750000000004,1573.22,27795,182,18,739,33,60,1196,170,6,2404
823,A4102,2015,32,False,33.27994047619048,38.589464285714286,35.510376984126985,5.8819444444444455,35.29166666666667,27795,182,18,739,33,60,1196,170,6,2404
824,A4102,2016,9,True,35.82,37.248285714285714,36.506125000000004,65.06575,1674.35,27795,182,18,739,33,60,1196,170,6,2404
825,A4102,2016,10,False,31.87567857142857,38.05017857142858,35.17785416666666,10.083416666666666,60.5005,27795,182,18,739,33,60,1196,170,6,2404
826,A4102,2017,30,True,35.97080357142858,37.815044642857146,36.778848214285716,36.376416666666664,945.0400000000001,27795,182,18,739,33,60,1196,170,6,2404
827,A4102,2017,15,False,33.58392857142857,37.11596428571429,35.58622321428572,15.986916666666668,95.92150000000001,27795,182,18,739,33,60,1196,170,6,2404
828,A4201,2015,143,True,34.29857142857143,37.20580357142858,36.23388392857143,58.91791666666668,1544.46,75362,487,37,1761,31,197,2951,314,11,5789
829,A4201,2015,39,False,31.637232142857147,36.604107142857146,34.19275297619048,5.977777777777778,35.86666666666667,75362,487,37,1761,31,197,2951,314,11,5789
830,A4201,2016,15,True,35.18414285714285,37.34542857142858,36.19320238095238,63.72875,1645.1000000000001,75362,487,37,1761,31,197,2951,314,11,5789
831,A4201,2016,20,False,31.161428571428576,37.48080357142858,34.14475297619048,9.614166666666666,57.684999999999995,75362,487,37,1761,31,197,2951,314,11,5789
832,A4201,2017,28,True,34.09491071428572,37.19464285714285,35.31125892857143,37.42025,967.3899999999999,75362,487,37,1761,31,197,2951,314,11,5789
833,A4201,2017,2,False,30.81892857142857,36.919714285714285,34.17064880952381,15.678666666666667,94.072,75362,487,37,1761,31,197,2951,314,11,5789
834,A4202,2015,41,True,34.037678571428565,36.80160714285713,35.16048214285714,59.76066666666668,1565.4,35968,66,5,138,1,10,154,56,1,431
835,A4202,2015,9,False,31.092529761904768,37.293125,33.47350198412698,5.143194444444444,30.859166666666667,35968,66,5,138,1,10,154,56,1,431
836,A4202,2016,14,True,32.97,35.28875,34.15582142857142,64.40125000000002,1654.29,35968,66,5,138,1,10,154,56,1,431
837,A4202,2016,8,False,30.413107142857147,36.83092857142857,33.404854166666674,10.847833333333334,65.087,35968,66,5,138,1,10,154,56,1,431
838,A4202,2017,13,True,31.977767857142855,34.52278571428572,33.317653273809526,35.64091666666667,922.96,35968,66,5,138,1,10,154,56,1,431
839,A4202,2017,9,False,29.974464285714284,35.99028571428571,33.028345238095234,15.289416666666668,91.7365,35968,66,5,138,1,10,154,56,1,431
840,A4203,2015,165,True,35.855642857142854,38.06842857142858,37.337250000000004,59.76066666666668,1565.4,85346,465,39,1381,22,162,2194,227,7,4497
841,A4203,2015,64,False,32.13622023809524,37.62678571428572,34.59532242063492,5.143194444444444,30.859166666666667,85346,465,39,1381,22,162,2194,227,7,4497
842,A4203,2016,21,True,35.11000000000001,36.70557142857143,35.771410714285715,64.40125000000002,1654.29,85346,465,39,1381,22,162,2194,227,7,4497
843,A4203,2016,18,False,31.436999999999998,37.57435714285714,34.58620833333333,10.847833333333334,65.087,85346,465,39,1381,22,162,2194,227,7,4497
844,A4203,2017,38,True,34.15,37.22580357142857,35.82594345238095,35.64091666666667,922.96,85346,465,39,1381,22,162,2194,227,7,4497
845,A4203,2017,10,False,30.971607142857145,37.186214285714286,34.385422619047624,15.289416666666668,91.7365,85346,465,39,1381,22,162,2194,227,7,4497
846,A4301,2015,84,True,35.84824999999999,38.47657142857143,37.192300595238095,59.76066666666666,1565.4,37310,306,28,1013,22,74,1769,158,4,3374
847,A4301,2015,36,False,32.30386904761905,38.33767857142858,34.79257936507937,5.143194444444444,30.859166666666667,37310,306,28,1013,22,74,1769,158,4,3374
848,A4301,2016,49,True,35.38999999999999,36.60285714285714,36.03926785714286,64.40125000000002,1654.29,37310,306,28,1013,22,74,1769,158,4,3374
849,A4301,2016,41,False,31.54542857142857,37.86901785714286,34.81232142857143,10.847833333333334,65.087,37310,306,28,1013,22,74,1769,158,4,3374
850,A4301,2017,82,True,34.58758928571429,36.79475000000001,35.93310863095238,35.64091666666667,922.96,37310,306,28,1013,22,74,1769,158,4,3374
851,A4301,2017,28,False,32.370535714285715,37.75032142857143,35.079976190476195,15.289416666666668,91.7365,37310,306,28,1013,22,74,1769,158,4,3374
852,A4302,2015,12,True,35.84824999999999,38.47657142857143,37.192300595238095,59.76066666666668,1565.4,49355,484,34,1684,23,72,2796,303,10,5406
853,A4302,2015,15,False,32.30386904761905,38.33767857142858,34.79257936507937,5.143194444444444,30.859166666666667,49355,484,34,1684,23,72,2796,303,10,5406
854,A4302,2016,19,True,35.38999999999999,36.60285714285714,36.03926785714286,64.40125000000002,1654.29,49355,484,34,1684,23,72,2796,303,10,5406
855,A4302,2016,14,False,31.54542857142857,37.86901785714286,34.81232142857143,10.847833333333334,65.087,49355,484,34,1684,23,72,2796,303,10,5406
856,A4302,2017,23,True,34.58758928571429,36.79475000000001,35.93310863095238,35.64091666666667,922.96,49355,484,34,1684,23,72,2796,303,10,5406
857,A4302,2017,10,False,32.370535714285715,37.75032142857143,35.079976190476195,15.289416666666668,91.7365,49355,484,34,1684,23,72,2796,303,10,5406
858,A4401,2015,415,True,34.49328571428572,36.561392857142856,35.35497470238096,60.98075,1596.92,93884,349,47,2160,29,181,4844,409,12,8031
859,A4401,2015,96,False,30.28,36.72625000000001,32.94788690476191,5.284861111111112,31.70916666666667,93884,349,47,2160,29,181,4844,409,12,8031
860,A4401,2016,60,True,33.48,34.253214285714286,33.77502976190476,63.33283333333333,1629.7599999999998,93884,349,47,2160,29,181,4844,409,12,8031
861,A4401,2016,78,False,30.332035714285716,36.01285714285713,33.21254166666667,9.25275,55.5165,93884,349,47,2160,29,181,4844,409,12,8031
862,A4401,2017,140,True,31.834285714285716,37.11982142857143,33.91771428571428,35.19625,913.3800000000001,93884,349,47,2160,29,181,4844,409,12,8031
863,A4401,2017,26,False,29.014642857142853,36.44455357142857,32.804970238095244,17.840416666666666,107.04249999999999,93884,349,47,2160,29,181,4844,409,12,8031
864,A4501,2015,164,True,35.38957142857143,37.96147321428571,37.05928720238095,61.20058333333333,1607.75,25262,245,13,902,11,38,1283,250,5,2747
865,A4501,2015,82,False,32.634077380952384,38.386964285714285,34.94389384920635,6.526944444444443,39.16166666666666,25262,245,13,902,11,38,1283,250,5,2747
866,A4501,2016,24,True,35.56,37.08614285714286,36.29399553571428,65.058,1678.31,25262,245,13,902,11,38,1283,250,5,2747
