,addrcode,Year,Month,Cases
878,100301,2015,3,0
879,100301,2015,4,0
880,100301,2015,5,8
881,100301,2015,6,18
882,100301,2015,7,12
883,100301,2015,8,16
884,100301,2015,9,17
885,100301,2015,10,27
886,100301,2015,11,34
887,100301,2015,12,8
888,100301,2016,1,6
889,100301,2016,2,8
890,100301,2016,3,2
891,100301,2016,4,2
892,100301,2016,5,1
893,100301,2016,6,2
894,100301,2016,7,4
895,100301,2016,8,4
896,100301,2016,9,4
897,100301,2016,10,5
898,100301,2016,11,2
899,100301,2016,12,1
900,100301,2017,1,1
901,100301,2017,2,0
902,100301,2017,3,1
903,100301,2017,4,1
904,100301,2017,5,0
905,100301,2017,6,2
906,100301,2017,7,13
907,100301,2017,8,2
908,100301,2017,9,15
909,100301,2017,10,13
910,100301,2017,11,20
911,100301,2017,12,11
912,100301,2018,1,7
913,100301,2018,2,2
914,100301,2018,3,11
915,100301,2018,4,7
916,100301,2018,5,1
917,100301,2018,6,0
918,100302,2014,1,0
919,100302,2014,2,5
920,100302,2014,3,1
921,100302,2014,4,0
922,100302,2014,5,1
923,100302,2014,6,0
924,100302,2014,7,0
925,100302,2014,8,0
926,100302,2014,9,1
927,100302,2014,10,6
928,100302,2014,11,6
929,100302,2014,12,2
930,100302,2015,1,2
931,100302,2015,2,2
932,100302,2015,3,0
933,100302,2015,4,0
934,100302,2015,5,5
935,100302,2015,6,6
936,100302,2015,7,17
937,100302,2015,8,21
938,100302,2015,9,16
939,100302,2015,10,18
940,100302,2015,11,19
941,100302,2015,12,6
942,100302,2016,1,7
943,100302,2016,2,6
944,100302,2016,3,4
945,100302,2016,4,1
946,100302,2016,5,1
947,100302,2016,6,3
948,100302,2016,7,1
949,100302,2016,8,6
950,100302,2016,9,6
951,100302,2016,10,4
952,100302,2016,11,0
953,100302,2016,12,0
954,100302,2017,1,1
955,100302,2017,2,0
956,100302,2017,3,0
957,100302,2017,4,0
958,100302,2017,5,0
959,100302,2017,6,3
960,100302,2017,7,8
961,100302,2017,8,4
962,100302,2017,9,4
963,100302,2017,10,9
964,100302,2017,11,5
965,100302,2017,12,6
966,100302,2018,1,2
967,100302,2018,2,0
968,100302,2018,3,12
969,100302,2018,4,3
970,100302,2018,5,0
971,100302,2018,6,0
972,100303,2014,1,0
973,100303,2014,2,0
974,100303,2014,3,0
975,100303,2014,4,0
976,100303,2014,5,0
977,100303,2014,6,0
978,100303,2014,7,0
979,100303,2014,8,0
980,100303,2014,9,0
981,100303,2014,10,0
982,100303,2014,11,3
983,100303,2014,12,0
984,100303,2015,1,2
985,100303,2015,2,0
986,100303,2015,3,0
987,100303,2015,4,0
988,100303,2015,5,0
989,100303,2015,6,2
990,100303,2015,7,4
991,100303,2015,8,5
992,100303,2015,9,2
993,100303,2015,10,3
994,100303,2015,11,1
995,100303,2015,12,1
996,100303,2016,1,2
997,100303,2016,2,2
998,100303,2016,3,1
999,100303,2016,4,0
1000,100303,2016,5,1
1001,100303,2016,6,0
1002,100303,2016,7,1
1003,100303,2016,8,1
1004,100303,2016,9,2
1005,100303,2016,10,0
1006,100303,2016,11,0
1007,100303,2016,12,0
1008,100303,2017,1,1
1009,100303,2017,2,0
1010,100303,2017,3,1
1011,100303,2017,4,0
1012,100303,2017,5,0
1013,100303,2017,6,0
1014,100303,2017,7,1
1015,100303,2017,8,2
1016,100303,2017,9,4
1017,100303,2017,10,2
1018,100303,2017,11,2
1019,100303,2017,12,0
1020,100303,2018,1,0
1021,100303,2018,2,0
1022,100303,2018,3,1
1023,100303,2018,4,1
1024,100303,2018,5,0
1025,100303,2018,6,0
1026,100304,2014,1,0
1027,100304,2014,2,0
1028,100304,2014,3,1
1029,100304,2014,4,0
1030,100304,2014,5,0
1031,100304,2014,6,0
1032,100304,2014,7,1
1033,100304,2014,8,0
1034,100304,2014,9,0
1035,100304,2014,10,0
1036,100304,2014,11,2
1037,100304,2014,12,0
1038,100304,2015,1,0
1039,100304,2015,2,0
1040,100304,2015,3,1
1041,100304,2015,4,2
1042,100304,2015,5,1
1043,100304,2015,6,0
1044,100304,2015,7,2
1045,100304,2015,8,5
1046,100304,2015,9,5
1047,100304,2015,10,4
1048,100304,2015,11,4
1049,100304,2015,12,3
1050,100304,2016,1,0
1051,100304,2016,2,0
1052,100304,2016,3,0
1053,100304,2016,4,0
1054,100304,2016,5,0
1055,100304,2016,6,1
1056,100304,2016,7,8
1057,100304,2016,8,7
1058,100304,2016,9,3
1059,100304,2016,10,1
1060,100304,2016,11,1
1061,100304,2016,12,1
1062,100304,2017,1,0
1063,100304,2017,2,0
1064,100304,2017,3,0
1065,100304,2017,4,0
1066,100304,2017,5,0
1067,100304,2017,6,0
1068,100304,2017,7,1
1069,100304,2017,8,1
1070,100304,2017,9,5
1071,100304,2017,10,0
1072,100304,2017,11,1
1073,100304,2017,12,0
1074,100304,2018,1,2
1075,100304,2018,2,0
1076,100304,2018,3,1
1077,100304,2018,4,0
1078,100304,2018,5,0
1079,100304,2018,6,0
1080,100305,2014,1,4
1081,100305,2014,2,4
1082,100305,2014,3,2
1083,100305,2014,4,1
1084,100305,2014,5,1
1085,100305,2014,6,2
1086,100305,2014,7,4
1087,100305,2014,8,3
1088,100305,2014,9,1
1089,100305,2014,10,4
1090,100305,2014,11,3
1091,100305,2014,12,2
1092,100305,2015,1,1
1093,100305,2015,2,3
1094,100305,2015,3,2
1095,100305,2015,4,2
1096,100305,2015,5,2
1097,100305,2015,6,9
1098,100305,2015,7,14
1099,100305,2015,8,23
1100,100305,2015,9,7
1101,100305,2015,10,17
1102,100305,2015,11,23
1103,100305,2015,12,7
1104,100305,2016,1,9
1105,100305,2016,2,5
1106,100305,2016,3,1
1107,100305,2016,4,1
1108,100305,2016,5,1
1109,100305,2016,6,1
1110,100305,2016,7,4
1111,100305,2016,8,0
1112,100305,2016,9,2
1113,100305,2016,10,5
1114,100305,2016,11,2
1115,100305,2016,12,0
1116,100305,2017,1,1
1117,100305,2017,2,1
1118,100305,2017,3,1
1119,100305,2017,4,0
1120,100305,2017,5,0
1121,100305,2017,6,1
1122,100305,2017,7,4
1123,100305,2017,8,8
1124,100305,2017,9,8
1125,100305,2017,10,10
1126,100305,2017,11,20
1127,100305,2017,12,9
1128,100305,2018,1,7
1129,100305,2018,2,2
1130,100305,2018,3,7
1131,100305,2018,4,4
1132,100305,2018,5,4
1133,100305,2018,6,0
1134,100306,2014,1,0
1135,100306,2014,2,0
1136,100306,2014,3,0
1137,100306,2014,4,0
1138,100306,2014,5,1
1139,100306,2014,6,0
1140,100306,2014,7,0
1141,100306,2014,8,2
1142,100306,2014,9,0
1143,100306,2014,10,1
1144,100306,2014,11,2
1145,100306,2014,12,0
1146,100306,2015,1,1
