"","TAM_NAME","Year","Week","Humidity","Rainfall","Temperature","Wind_Speed"
"288","ฉลอง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"289","เสาเภา","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"290","เทพราช","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"291","เปลี่ยน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"292","กราย","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"293","ตลิ่งชัน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"294","สระแก้ว","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"295","นบพิตำ","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"296","ท่าขึ้น","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"297","นาเหรง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"298","กะหรอ","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"299","ไทยบุรี","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"300","ท่าศาลา","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"301","หัวตะพาน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"302","โพธิ์ทอง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"303","โมคลาน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"304","ทอนหงส์","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"305","ปากพูน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"306","ดอนตะโก","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"307","อินคีรี","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"308","บ้านเกาะ","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"309","พรหมโลก","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"310","นาเรียง","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"311","ท่าซัก","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"312","ท่างิ้ว","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"313","นาทราย","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"314","นาเคียน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"315","กำโลน","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"316","โพธิ์เสด็จ","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"317","กำแพงเซา","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"318","ท่าดี","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"319","เขาแก้ว","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"320","ลานสกา","2015",44,92.5714285714286,7.55714285714286,25.8285714285714,12.4285714285714
"321","ท้องเนียน","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"322","ควนทอง","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"323","ขนอม","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"324","สิชล","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"325","สี่ขีด","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"326","ทุ่งปรัง","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"327","เขาน้อย","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"328","ฉลอง","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"329","เสาเภา","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"330","เทพราช","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"331","เปลี่ยน","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
"332","กราย","2016",44,91,18.0571428571429,26.4142857142857,11.8571428571429
