"","Station_Code","Date","Location","Province","Humidity","Rainfall","Temperature","Wind_Speed","Year"
"199",552201,"13/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.6,23,"2015"
"200",552201,"13/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,28.3,13,"2016"
"201",552201,"13/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",88,0,27.1,NA,"2017"
"202",552201,"14/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",85,0,26.3,15,"2015"
"203",552201,"14/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",88,0,26.8,16,"2016"
"204",552201,"14/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.4,10,"2017"
"205",552201,"14/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",83,1.5,25.1,15,"2018"
"206",552201,"14/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27,13,"2015"
"207",552201,"14/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",94,0,26,14,"2016"
"208",552201,"14/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.6,NA,"2017"
"209",552201,"14/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27.6,13,"2015"
"210",552201,"14/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",95,0,25.8,18,"2016"
"211",552201,"14/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27.5,NA,"2017"
"212",552201,"14/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27.4,8,"2015"
"213",552201,"14/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.8,9,"2016"
"214",552201,"14/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,26.5,NA,"2017"
"215",552201,"14/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,25.1,14,"2015"
"216",552201,"14/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.8,11,"2016"
"217",552201,"14/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,0,26.5,12,"2017"
"218",552201,"14/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",79,0,27.1,12,"2018"
"219",552201,"14/3/2015","นครศรีธรรมราช","นครศรีธรรมราช",75,0,27.2,15,"2015"
"220",552201,"14/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.9,13,"2016"
"221",552201,"14/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.8,13,"2017"
"222",552201,"14/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",80,0,27.8,15,"2018"
"223",552201,"14/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",93,0,25.6,22,"2015"
"224",552201,"14/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,30,13,"2016"
"225",552201,"14/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,0,28.7,15,"2017"
"226",552201,"14/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.3,11,"2018"
"227",552201,"14/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,0,28.6,18,"2015"
"228",552201,"14/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,30.2,16,"2016"
"229",552201,"14/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.4,0,"2017"
"230",552201,"14/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.8,8,"2015"
"231",552201,"14/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",81,0,29,14,"2016"
"232",552201,"14/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27.3,NA,"2017"
"233",552201,"14/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",77,0,29,16,"2015"
"234",552201,"14/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.7,18,"2016"
"235",552201,"14/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,26.3,NA,"2017"
"236",552201,"14/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",86,0,27.2,17,"2015"
"237",552201,"14/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",77,0,28.8,14,"2016"
"238",552201,"14/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.1,NA,"2017"
"239",552201,"14/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",86,0,27.2,10,"2015"
"240",552201,"14/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,28.7,18,"2016"
"241",552201,"14/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",88,0,26.7,NA,"2017"
"242",552201,"15/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,26.5,15,"2015"
"243",552201,"15/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",93,0,26.3,15,"2016"
"244",552201,"15/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.6,12,"2017"
"245",552201,"15/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",87,0,25.6,11,"2018"
"246",552201,"15/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",89,0,26.9,9,"2015"
"247",552201,"15/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",89,0,27.7,11,"2016"
"248",552201,"15/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.7,NA,"2017"
"249",552201,"15/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,27.5,11,"2015"
"250",552201,"15/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",88,0,27.4,11,"2016"
"251",552201,"15/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.2,NA,"2017"
"252",552201,"15/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.8,8,"2015"
"253",552201,"15/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",91,0,25.4,9,"2016"
"254",552201,"15/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,26.9,NA,"2017"
"255",552201,"15/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",80,0,25.3,13,"2015"
"256",552201,"15/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.1,12,"2016"
"257",552201,"15/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",88,0,25.1,13,"2017"
"258",552201,"15/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",81,0,26.2,10,"2018"
